id,pattern_detected,pattern_name,pattern_type,confidence_percentage,entry_point,take_profit,stop_loss,best_exit_time,order_id,pair,timeframe,image_name,description
1,0,,,,,,,,,EUR/USD,15 minutes,2016-01-03_22-00_to_2016-01-18_07-45.png,
1,1,Head and Shoulders,Reversal,80,2024-01-19T11:00:00Z,1.075,1.095,2024-01-21T11:00:00Z,ORD654321,EUR/USD,15 minutes,2016-01-11_03-00_to_2016-01-25_12-45.png,Indicates a possible reversal of the current upward trend.
3,0,,,,,,,,,EUR/USD,15 minutes,2016-01-18_08-00_to_2016-02-01_17-45.png,
4,0,,,,,,,,,EUR/USD,15 minutes,2016-01-25_13-00_to_2016-02-08_22-45.png,
1,0,,,,,,,,,EUR/USD,15 minutes,2016-02-01_18-00_to_2016-02-16_03-45.png,
1,0,,,,,,,,,EUR/USD,15 minutes,2016-02-08_23-00_to_2016-02-23_08-45.png,
1,0,,,,,,,,,EUR/USD,15 minutes,2016-02-16_04-00_to_2016-03-01_13-45.png,
1,1,Head and Shoulders,Reversal,85,2024-02-28T11:00:00Z,1.085,1.1,2024-03-01T11:00:00Z,ORD123458,EUR/USD,15 minutes,2016-02-23_09-00_to_2016-03-08_18-45.png,Indicates a possible reversal of the current trend.
1,0,,,,,,,,,EUR/USD,15 minutes,2016-03-01_14-00_to_2016-03-15_22-45.png,
1,0,,,,,,,,,EUR/USD,15 minutes,2016-03-08_19-00_to_2016-03-23_03-45.png,
1,0,,,,,,,,,EUR/USD,15 minutes,2016-03-15_23-00_to_2016-03-30_08-45.png,
1,0,,,,,,,,,EUR/USD,15 minutes,2016-03-23_04-00_to_2016-04-06_13-45.png,
1,0,,,,,,,,,EUR/USD,15 minutes,2016-03-30_09-00_to_2016-04-13_18-45.png,
1,0,,,,,,,,,EUR/USD,15 minutes,2016-04-06_14-00_to_2016-04-20_23-45.png,
1,0,,,,,,,,,EUR/USD,15 minutes,2016-04-13_19-00_to_2016-04-28_04-45.png,
1,0,,,,,,,,,EUR/USD,15 minutes,2016-04-21_00-00_to_2016-05-05_09-45.png,
1,1,Head and Shoulders,Reversal,85,2024-05-04T14:00:00Z,1.135,1.155,2024-05-06T14:00:00Z,ORD123456,EUR/USD,15 minutes,2016-04-28_05-00_to_2016-05-12_14-45.png,Indicates a possible reversal of the current upward trend.
